	TSNE_1	TSNE_2
225	-2.3761485	0.046549838
226	3.9545176	0.26199847
227	-7.0929575	-6.3619823
228	-0.35457563	10.221202
229	0.014569426	-3.0577803
230	3.7813778	-2.626429
231	3.8778543	-3.396973
232	-3.8626547	-6.275882
233	-0.8018832	-0.6920325
234	-0.15768635	-0.2780976
235	2.7748418	-2.5198777
236	-1.3675711	-7.781956
237	-5.712821	-6.067252
238	-7.713994	-6.080435
239	-13.172845	-1.8795389
240	-13.203967	-1.8633237
241	3.7035613	0.2639083
242	3.0518277	1.0590824
243	3.673343	1.0264758
244	3.6111684	8.193307
245	0.6313853	1.3414589
246	-6.025861	-6.0854917
247	-0.48152572	-11.785755
248	2.2924726	-1.8440049
249	-0.69469696	-4.6844544
250	7.5921555	-3.372714
251	8.516214	-2.0977676
252	1.1845579	-3.232537
253	2.2828372	-1.3596298
254	7.402871	-3.1939902
255	2.2201695	-5.628155
256	-1.5821092	-2.2036579
257	9.404416	4.6077085
258	-1.9833034	-2.1737025
259	9.5604	4.533869
260	8.151913	-5.460269
261	9.138918	-5.605566
262	1.0562015	1.4269075
263	3.3222425	1.8881025
264	6.6235137	8.324167
265	8.970682	5.971042
266	-7.011329	-1.5439932
267	1.1274929	-0.8449373
268	4.604675	-0.76262426
269	-1.0052162	4.4809723
270	-1.7873046	-11.968959
271	7.7718663	5.9351096
272	0.21276976	-1.9719012
273	-2.1267927	-3.6520176
274	1.3168184	-1.203026
275	1.3581661	-9.67075
276	-2.5102017	-8.30553
277	10.604324	8.25961
278	-9.008134	-5.8413014
279	-6.5626225	-0.81209964
280	-8.353669	-1.5658797
281	-8.59496	-1.0584944
282	-8.5624895	-1.4484068
283	-3.6608903	4.542519
284	-9.338851	-1.0196775
285	-10.452299	-1.1894865
286	-9.493881	-1.1031003
287	-10.058858	-1.0680001
288	5.9314437	8.714422
289	-9.157845	-1.1895733
290	-6.697753	-1.1889086
291	-7.2582474	-2.6210682
292	-6.1121206	-2.8282187
293	-8.822126	-1.230197
294	-2.8159018	2.38881
295	-9.040865	-1.1399727
296	-10.2530365	-1.2057161
297	-7.7505507	-2.322928
298	-9.629816	-1.2491217
299	-10.046852	-1.162444
300	-10.470088	-1.2007023
301	-3.0106645	-10.464765
302	-9.227015	-0.9011582
303	-2.3201535	-3.16427
304	-10.178864	-1.1772739
305	-10.222571	-1.2242692
306	-9.474504	-1.2249345
307	-9.230461	-1.1729704
308	-9.022857	-0.7967273
309	-6.8722186	-1.4934585
310	-11.239394	-5.5696173
311	-7.9125376	-1.3939216
312	-7.180263	-0.8325432
313	-6.5156302	-0.6359386
314	-6.882609	-0.77844113
315	-8.817828	-0.79029363
316	-2.5016031	4.7560153
317	-2.0994804	3.5543416
318	-8.993828	-1.3850508
319	-1.1172359	2.619356
320	2.1057544	4.2169213
321	1.7098571	-0.14976169
322	-7.8479404	-6.730838
323	1.5255693	-0.64287907
324	5.903641	-0.21799451
325	0.5006092	-0.40768126
326	0.58977723	-9.489508
327	-2.4716914	2.7906523
328	4.7005515	0.759781
329	-1.6644402	-7.6039777
330	6.4124436	10.497145
331	0.8504955	3.4828086
332	7.5301266	0.77374405
333	1.4034038	-4.5506296
