label	TSNE_1	TSNE_2
HALT	-55.316017	99.55709
HALT	-52.58266	98.124535
PANCREAS	2.4624896	-4.839483
HALT	-49.840652	87.99561
HALT	-43.80239	63.23482
STOMACH 	5.5448513	-15.28108
STOMACH 	53.766926	-28.77807
STOMACH 	20.598621	-16.236063
STOMACH 	51.354794	5.1402335
HALT	-26.343534	42.01706
HALT	0.17252854	102.82141
HALT	1.8071659	88.36245
HALT	-5.432159	100.52601
HALT	-26.909761	50.54946
HALT	-29.49677	53.72257
HALT	-25.124344	92.96177
HALT	-41.02984	75.41308
HALT	-27.498919	91.27557
HALT	-1.17884	107.58533
HALT	-1.6281614	109.346115
LUNG	8.187448	-1.6277857
HALT	-6.8226213	104.44369
HALT	-50.3586	97.07004
HALT	1.1476924	102.14123
HALT	-52.783154	99.946
HALT	-51.790054	97.70169
HALT	-51.9446	95.56769
HALT	-50.863255	86.584274
HALT	1.4336337	99.2214
STOMACH 	43.934593	-3.4992666
LUNG	9.580307	-72.0872
LUNG	18.530663	-65.7431
LUNG	20.585512	-68.399
LUNG	6.595281	-38.753704
LUNG	22.721195	-68.24443
LUNG	-2.396139	-27.331892
LUNG	-17.729515	-25.690933
LUNG	5.5405226	-39.615
LUNG	43.583767	42.10549
LUNG	14.682221	-25.257046
LUNG	24.702526	-49.20792
LUNG	15.799251	16.492153
LUNG	54.9736	-32.67951
LUNG	20.667192	-65.69942
LUNG	44.826523	36.523846
LUNG	14.04441	-66.54179
LUNG	5.5157447	-12.249748
LUNG	26.699854	-13.004662
LUNG	20.641245	-2.8778615
LUNG	-6.0069304	-41.339855
LUNG	21.698757	-67.10038
LUNG	23.070179	-4.5538926
LUNG	35.11123	17.771759
LUNG	25.50452	-15.10266
LUNG	-23.510363	-10.163809
LUNG	22.841225	13.98332
LUNG	0.87074673	8.15508
LUNG	16.10323	-64.10724
LUNG	-3.4508352	-28.100311
LUNG	8.1204195	-35.94034
LUNG	1.685423	-12.269446
LUNG	20.45932	-31.919537
LUNG	2.869229	-16.67213
LUNG	13.7981	38.60199
LUNG	0.9152374	9.262692
LUNG	21.10923	-60.74518
LUNG	19.073385	-27.265795
LUNG	25.413122	3.1438012
LUNG	23.352373	-66.30591
LUNG	-2.2835362	-48.135445
LUNG	17.91982	-56.496433
LUNG	44.87943	39.560078
LUNG	19.599077	-64.89679
LUNG	-29.487322	-12.625835
LUNG	1.5832223	-16.249483
LUNG	14.701046	-26.857744
LUNG	44.441284	40.673122
LUNG	23.13619	-59.202854
LUNG	42.420868	40.591133
LUNG	54.66514	-50.353462
LUNG	17.831654	15.844723
LUNG	-6.669963	-39.912354
LUNG	17.64998	-60.836353
LUNG	13.385233	-14.579182
LUNG	19.755772	-24.67105
LUNG	21.093008	-64.163765
LUNG	17.25331	-66.83779
LUNG	29.286057	11.798122
LUNG	42.794025	-32.893955
LUNG	44.89443	37.872726
LUNG	44.634304	32.18754
LUNG	52.701023	5.751912
LUNG	15.178139	-61.647385
LUNG	7.776927	-14.1772375
LUNG	22.450256	-61.620144
LUNG	16.855202	-57.891167
LUNG	17.671425	-33.567406
LUNG	-10.909975	-10.144031
LUNG	-1.9069337	-32.912518
LUNG	23.615725	-27.816195
LUNG	27.272924	-10.633523
LUNG	24.188412	-27.617788
LUNG	-0.9096688	-31.946095
LUNG	8.36747	-21.94815
LUNG	31.243362	19.09564
LUNG	-0.6828851	-15.161272
LUNG	33.749275	-3.677931
LUNG	23.375488	7.8326306
LUNG	17.10665	-24.416824
LUNG	23.87264	-14.541473
LUNG	22.303543	-29.01677
LUNG	15.988538	-25.405676
LUNG	21.843386	-25.66639
LUNG	-34.391933	-31.91511
LUNG	3.4830265	-4.4432554
