	TSNE_1	TSNE_2
324	65.581696	-32.724274
325	-7.5265837	5.9080925
326	25.45527	-40.30278
327	6.46467	-93.210304
328	66.489975	-18.736998
329	49.295723	-37.684765
330	-82.26993	59.351437
331	-41.678764	16.93403
332	62.286327	-18.699507
333	26.510448	-16.005095
334	-34.12684	-63.443058
335	78.09759	-48.287193
336	77.51187	-49.99297
337	-88.861	38.775852
338	7.554794	-19.628988
339	-7.5951743	-0.8744612
340	-89.50569	20.23535
341	-81.278015	41.290318
342	80.9013	47.63938
343	-2.9487805	52.18831
344	21.800161	-113.24834
345	19.835749	-105.67127
346	-5.5983243	-47.766087
347	59.95557	11.018156
348	62.153698	-31.134987
349	118.37912	14.930119
350	-62.415535	5.922901
351	5.4951086	51.6005
352	20.217125	-116.58965
353	60.581764	15.127949
354	-5.3447356	20.51327
355	13.523939	-15.403039
356	23.338375	-7.171056
357	-97.748405	22.878078
358	-8.398799	2.1265423
359	68.126625	15.1595335
360	-29.352821	31.344093
361	32.94984	27.592758
362	72.43328	-48.53435
363	-31.307943	33.421535
364	73.210365	-48.74216
365	23.93645	32.71548
366	-17.026875	-53.46334
367	43.256516	-48.859325
368	-15.801136	58.963116
369	58.282925	31.115618
370	63.68647	14.181502
371	80.93514	54.90889
372	-2.891967	-25.506859
373	-15.411619	-52.595245
374	27.11112	21.584269
375	-67.32723	4.6110673
376	-108.842834	-6.5891957
377	-21.4892	93.07677
378	-86.83679	64.789955
379	28.02599	-9.284639
380	-142.87154	10.252282
381	-110.3882	-6.2669816
382	-88.8444	21.495039
383	-89.050995	23.946657
384	20.7556	-106.969124
385	-109.13048	-3.1830027
386	-36.81147	-58.48832
387	-83.9376	21.438356
388	-93.270615	39.400352
389	-93.68553	20.04886
390	-96.95913	-22.338835
391	-104.428635	58.789642
392	-104.726944	-30.516874
393	-47.870243	47.747257
394	-118.76729	-14.435971
395	87.06145	47.210136
396	-137.47194	9.130226
397	72.039505	-28.987978
398	-87.2571	38.671894
399	122.342606	16.393639
400	-7.2940993	-48.13127
401	-118.093864	-14.584442
402	-71.65332	-5.0201783
403	-105.031975	4.0407596
404	11.3456545	-0.41537976
405	-13.332856	54.484272
406	29.890825	-29.360266
407	-88.45969	34.819088
408	35.811615	-9.410617
409	-45.531532	-58.444195
410	-4.403478	-39.78976
411	-14.619872	-39.58475
412	-50.379284	-58.224365
413	-76.216606	-2.001299
414	-78.57413	-5.7888474
415	-81.74182	19.470299
416	-84.34722	19.065495
417	-69.792175	-6.25264
418	-64.29718	2.3531277
419	-70.2931	-5.3446674
420	-76.845604	-3.0659585
421	-66.207184	4.3145065
422	75.21711	-65.683556
423	-35.138477	-67.96207
424	15.2572155	-23.401304
425	-14.767052	-64.81229
426	-97.545	-23.49721
427	-108.29	51.987637
428	16.668251	-39.441525
429	-2.6536853	-14.144354
430	62.701107	45.53829
431	53.63875	74.36124
432	9.657001	100.65929
433	117.61025	20.10634
434	37.946716	30.171633
435	121.819016	17.755531
436	-3.54277	96.146545
437	19.493359	-23.15602
438	-111.150635	-10.815026
439	59.38759	30.798023
440	86.55505	49.64864
441	-40.566685	39.25146
442	30.903675	61.575676
443	19.942196	49.69702
