Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
TAF15	103.68	171.93	204.16	202.77	160.96	123.74	213.68	369.79	103.95	185.69	308.57	96.9	285.9	174.55	190.6	156.31	59.66	110.31	81.41	145.65	173.49	85.37	246.31	249.96	78.51	139.99	64.2	386.71	166.47	104.17	350.0	172.98	98.18	167.57	118.57	108.19	102.99	107.68	135.54	219.73	530.55	117.69	72.83	180.67	122.07	85.9	237.72	88.47	72.86	138.16	49.11
ATP2B3	0.0	0.0	0.02	7.61	0.01	0.0	0.01	0.04	0.0	0.0	0.13	0.05	0.02	0.05	2.14	5.07	0.0	1.9	0.0	0.05	0.09	0.01	0.0	0.01	0.04	0.02	0.01	0.01	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.01	0.01	0.02	0.01	0.0	0.02	0.01	0.38	0.0	0.01	0.01	0.0	0.0	0.02	0.0	0.0
MB21D2	1.33	1.28	9.7	13.49	12.68	4.9	3.82	4.16	2.99	17.94	3.19	3.69	6.48	3.99	2.79	3.62	6.1	9.73	1.88	0.06	4.11	3.25	5.64	2.53	4.39	1.43	3.18	5.08	4.54	4.91	1.65	1.69	8.77	7.75	4.93	6.65	4.16	3.96	1.97	3.03	4.32	1.69	1.92	9.49	3.91	4.66	8.32	2.75	3.32	2.34	2.63
NBN	178.96	19.41	25.04	34.34	36.58	30.21	6.25	102.65	17.88	31.74	14.92	55.85	27.17	51.37	24.88	20.31	67.01	75.51	40.63	42.44	29.26	11.29	31.04	46.72	17.21	19.27	25.15	73.63	63.29	20.06	26.16	16.3	20.67	27.85	34.2	42.91	24.72	34.81	26.6	17.9	23.26	10.2	11.76	22.99	17.76	109.58	21.02	13.97	34.93	23.67	8.46
GPHN	40.72	8.18	14.91	32.47	10.48	10.21	19.12	13.88	4.1	7.83	16.61	14.82	18.51	12.17	9.1	11.69	11.48	15.25	11.15	10.19	9.04	6.15	6.23	13.54	15.36	11.54	8.94	20.14	2.28	1.8	10.48	18.77	3.61	2.78	14.57	17.38	6.62	1.95	15.2	10.3	8.21	2.68	8.45	19.83	7.81	26.91	17.46	26.22	1.18	15.31	16.17
ASPSCR1	35.82	19.87	49.98	29.62	15.33	36.08	36.54	35.08	10.61	28.64	570.44	38.86	17.94	57.03	20.73	64.54	40.73	56.08	42.66	15.98	23.41	18.05	23.93	20.7	74.97	34.33	32.77	44.51	19.49	7.43	22.55	22.51	19.57	34.14	32.44	39.78	28.91	55.11	19.23	15.33	29.38	31.5	16.27	41.85	26.11	32.65	37.64	39.41	27.05	53.78	39.32
KIAA1549	11.8	3.74	11.26	8.43	6.64	2.15	18.98	8.01	2.49	13.77	27.56	8.41	4.8	3.14	16.84	4.06	9.67	5.16	2.78	8.43	4.21	1.49	1.16	6.28	13.43	3.14	4.52	13.05	2.05	4.04	1.16	3.69	0.69	5.0	4.78	2.47	2.45	4.15	5.12	5.03	9.91	5.3	5.35	3.74	4.42	3.91	4.31	2.14	5.77	3.63	7.14
CDH10	0.01	0.0	0.72	0.04	3.49	83.63	0.18	0.06	0.0	11.72	0.0	0.0	0.0	0.07	0.03	0.01	56.08	8.91	2.26	0.0	0.0	7.0	0.0	0.11	2.11	0.0	0.0	0.07	0.03	0.01	0.0	0.16	0.06	0.05	0.02	0.01	0.23	0.18	0.03	0.0	3.03	32.9	0.0	0.0	0.01	1.09	0.77	0.14	0.03	0.34	0.0
CREB3L1	1.11	0.08	24.65	5.55	19.32	39.29	17.49	0.66	0.64	9.61	0.03	12.84	6.04	0.37	0.09	2.03	133.63	2.17	16.7	0.06	0.02	1.18	0.48	0.25	12.19	0.1	25.87	0.65	0.51	1.34	0.28	0.15	118.08	2.68	2.29	0.11	0.82	0.51	19.11	47.35	12.63	143.23	25.1	3.97	0.33	1.68	0.1	15.87	45.49	5.89	80.33
SOCS1	1.9	0.85	0.8	1.37	0.53	1.92	0.46	1.97	0.97	0.42	1.59	0.55	0.9	1.22	2.16	2.0	0.15	3.77	0.57	0.48	0.17	1.41	0.99	0.4	2.07	0.78	0.38	2.09	2.05	0.53	1.38	1.41	1.33	1.57	1.05	0.59	0.05	3.24	0.28	3.45	1.11	1.58	4.94	0.65	1.6	3.29	0.2	0.54	1.49	0.52	0.31
RUNX1	6.4	29.21	10.2	9.57	27.81	12.69	19.67	4.27	10.12	15.67	34.34	9.22	26.41	98.57	4.29	28.78	6.5	18.21	28.1	12.44	31.89	6.09	27.42	21.52	5.96	4.53	10.89	25.09	25.4	15.46	4.2	12.11	22.4	16.65	6.92	12.17	21.19	27.32	15.17	35.29	11.48	33.37	19.58	14.54	25.16	4.53	19.69	10.59	10.01	22.41	16.17
TBL1XR1	29.5	58.49	36.77	40.29	18.97	18.97	20.63	26.07	36.93	35.55	35.07	24.95	61.83	50.67	53.63	33.61	30.16	45.21	69.1	60.15	65.91	21.3	37.01	62.87	39.11	21.02	13.39	86.87	88.96	25.18	24.12	20.69	25.36	18.53	15.55	11.06	49.39	24.71	28.26	24.14	36.42	22.42	18.66	50.4	38.46	15.53	36.77	12.04	24.69	36.39	32.81
TET1	0.21	0.16	0.36	0.41	0.4	0.36	0.78	3.17	0.05	0.26	0.68	0.2	0.62	0.36	6.7	0.86	0.19	2.03	0.47	1.31	2.92	0.58	0.36	0.39	0.26	0.43	0.15	1.47	0.52	0.72	0.19	0.15	1.35	0.5	0.46	0.65	1.36	1.43	0.22	0.18	0.37	0.03	0.56	0.1	0.77	0.29	0.5	0.05	0.38	0.18	0.43
ZNF521	0.0	0.02	0.02	1.4	0.38	0.06	0.04	0.09	0.03	0.88	4.52	0.08	0.06	0.18	0.8	27.93	0.19	0.1	0.02	25.27	2.55	0.0	0.0	0.01	0.12	1.12	0.04	0.69	0.07	0.51	0.07	0.0	6.31	0.0	0.0	0.0	0.21	0.01	0.0	0.27	0.82	0.09	0.39	0.87	0.08	0.05	0.06	0.02	0.0	0.12	0.0
DNMT3A	16.7	20.08	14.01	19.56	12.34	10.74	14.5	18.07	5.22	23.75	33.51	10.63	16.58	2.97	27.59	5.71	8.9	11.98	13.66	9.87	6.43	1.76	11.89	8.82	64.86	31.26	12.39	29.53	11.49	11.29	3.42	5.86	7.16	4.15	23.94	19.41	39.5	9.07	9.72	2.47	14.68	5.76	10.25	18.9	19.87	12.39	3.27	5.87	29.45	17.96	4.9
NOTCH2	50.33	72.89	23.31	31.03	16.68	25.32	30.88	32.92	13.88	59.74	0.69	30.72	21.65	24.25	54.29	84.63	22.49	42.6	26.63	26.84	48.39	10.78	22.78	36.53	33.15	25.83	15.73	96.67	51.0	23.58	18.26	39.27	98.53	15.13	51.38	15.27	2.46	26.04	8.03	51.07	18.76	14.54	62.12	21.36	27.0	30.68	23.56	33.63	12.37	28.61	29.42
PALB2	8.15	18.2	9.46	8.16	12.52	6.25	16.3	10.86	4.73	19.04	10.11	5.9	10.61	20.07	12.14	15.02	12.67	10.56	13.6	9.54	10.14	2.87	13.76	10.38	7.4	9.74	7.18	13.17	20.83	6.97	9.38	15.66	4.02	7.43	8.84	7.13	9.75	9.02	10.13	8.51	14.14	11.22	20.61	19.04	8.61	8.1	10.28	11.6	10.7	16.57	8.71
WWTR1	20.32	35.06	6.76	3.83	38.39	23.61	4.79	31.49	27.77	4.18	0.3	9.49	13.74	67.52	17.96	95.21	7.0	25.43	2.04	41.83	69.59	18.66	65.14	29.5	14.97	11.1	1.22	200.42	98.44	19.68	130.47	22.3	46.8	37.8	14.02	5.93	0.4	27.62	5.83	43.46	39.22	9.93	38.69	8.09	45.59	8.25	18.44	5.17	30.62	7.07	5.64
POU5F1	0.09	2.69	0.31	0.29	1.33	0.09	0.3	23.69	1.46	0.37	0.37	1.11	0.37	7.7	10.2	8.81	0.68	1.83	0.18	4.7	1.67	0.27	3.42	0.67	0.51	1.56	0.1	1.84	4.79	0.36	0.13	5.64	2.04	1.09	0.48	0.18	0.4	3.31	0.37	0.87	0.27	0.84	0.09	0.49	1.51	0.08	0.15	0.16	0.09	0.37	0.22
XPC	20.59	20.18	21.6	19.85	42.78	25.97	25.79	38.88	4.24	24.91	25.44	16.25	14.62	12.74	8.9	24.03	16.9	13.1	24.39	12.07	11.27	11.37	21.33	19.58	15.12	10.08	8.25	25.67	9.9	9.94	7.86	78.72	14.58	24.83	33.33	29.21	15.07	23.02	20.75	6.58	17.59	8.55	35.52	15.54	11.12	22.31	29.47	20.08	10.14	13.79	18.47
USP8	34.13	52.56	17.12	24.86	17.77	17.03	15.22	31.68	11.11	34.59	20.12	23.84	25.11	34.32	21.14	20.76	26.32	41.61	19.72	20.4	18.56	6.63	26.84	41.16	14.28	20.64	17.36	34.44	33.23	11.87	13.51	21.87	18.8	19.35	53.69	51.02	27.91	22.07	29.39	15.17	20.71	17.46	38.07	20.35	21.79	28.06	21.63	10.18	44.88	30.82	26.23
NFKBIE	8.35	4.25	4.42	8.14	4.28	4.12	6.9	17.92	14.72	7.67	4.59	4.58	3.51	8.79	10.86	7.15	5.26	3.82	5.45	19.41	5.52	5.39	7.15	6.04	10.15	5.47	2.79	6.74	2.79	5.27	5.56	5.92	6.58	6.96	3.37	4.3	3.16	4.73	5.74	14.33	8.62	6.71	10.59	6.99	10.67	8.19	4.31	13.09	5.48	3.29	3.98
SALL4	1.49	0.65	1.42	0.34	0.15	0.15	0.03	5.99	0.27	0.19	0.18	0.5	0.02	5.92	0.91	3.15	0.16	0.11	9.22	3.08	0.06	8.71	6.22	0.12	0.03	0.0	2.77	15.72	1.35	7.92	0.16	2.84	2.69	0.2	6.68	2.59	0.23	4.04	0.91	0.08	1.56	0.03	0.9	0.0	0.23	0.18	0.03	0.0	0.63	0.25	0.01
FHIT	5.11	0.27	1.4	2.57	0.6	4.13	3.3	3.04	0.67	3.66	3.89	0.48	1.63	0.73	1.13	0.64	0.82	0.6	1.42	0.89	0.86	0.19	0.8	0.68	2.99	3.48	3.89	0.39	0.12	4.55	0.95	2.9	1.02	1.63	1.77	2.11	9.44	0.98	4.58	1.95	1.52	3.47	1.22	2.11	1.84	5.6	1.57	4.04	1.52	5.95	3.02
FGFR1OP	15.11	18.01	5.18	8.19	24.18	8.44	8.82	24.03	8.7	9.19	11.18	16.41	11.83	19.85	7.64	11.81	15.33	14.94	28.66	11.91	20.13	7.65	11.09	26.26	4.08	10.85	6.4	5.79	17.11	8.42	7.18	10.44	8.83	8.95	7.89	9.58	44.16	21.11	7.64	15.52	18.76	8.5	34.85	16.76	23.43	10.99	12.78	19.46	32.91	13.91	5.93
NUP214	21.85	40.17	35.49	23.75	27.0	14.43	24.68	22.21	18.23	19.67	22.86	26.19	28.87	26.63	28.5	41.21	15.79	23.0	17.45	25.99	23.59	15.88	24.7	27.4	24.34	23.5	11.49	21.83	19.41	12.7	15.97	20.01	13.89	20.29	20.83	19.98	18.13	19.68	20.74	25.25	28.92	20.75	40.57	26.55	20.95	20.11	34.0	16.63	19.63	11.15	11.79
TP53	33.39	129.8	76.06	25.17	154.02	14.56	95.69	90.16	45.29	42.38	38.75	4.19	41.29	173.72	143.55	149.51	20.17	82.82	41.5	6.82	10.17	8.21	11.38	112.15	4.52	52.71	38.21	40.34	55.99	11.79	3.62	41.08	49.47	119.27	119.67	96.23	9.38	7.95	16.4	46.51	12.02	39.6	23.33	54.11	105.88	29.08	55.32	12.93	7.06	17.15	23.27
PDGFB	7.68	18.65	12.83	39.77	1.32	18.92	6.25	2.21	22.33	40.6	14.17	16.92	17.15	40.36	0.83	0.36	32.13	30.26	12.46	0.24	5.24	2.64	14.9	10.92	78.09	4.88	11.24	28.06	6.8	10.82	2.11	2.64	0.18	23.64	13.58	13.32	14.52	1.12	20.05	0.64	28.87	18.36	0.26	13.57	30.14	30.34	15.59	9.03	25.72	7.39	19.74
CANT1	160.39	40.91	101.02	195.8	36.64	77.0	119.38	33.47	56.59	135.65	41.43	120.93	113.22	191.57	34.55	68.79	142.36	90.81	188.9	37.52	32.67	31.52	72.57	78.97	157.86	33.62	117.82	103.36	43.98	48.84	42.75	54.93	44.87	131.89	79.49	89.4	56.78	89.12	199.48	61.9	108.02	69.67	36.44	71.75	99.27	212.67	287.86	41.31	76.65	130.17	126.46
CRTC1	5.22	10.15	4.52	8.98	4.21	2.86	7.79	6.96	2.12	3.76	22.41	5.45	4.63	9.32	17.51	10.76	7.24	8.89	8.18	7.43	7.86	4.69	9.79	3.47	3.51	5.73	4.75	5.35	4.3	3.48	4.01	4.86	3.44	6.98	10.29	7.56	11.93	6.26	5.97	5.67	9.88	7.62	8.39	10.9	13.72	4.4	4.32	3.7	2.64	2.98	8.37
SND1	707.79	99.89	71.8	78.51	99.02	121.9	107.38	62.51	107.5	134.43	72.08	81.65	54.56	67.9	131.87	199.51	55.64	86.72	62.27	166.85	33.08	58.3	69.52	165.73	92.65	85.24	106.22	125.56	107.55	91.71	73.53	104.25	139.81	72.06	89.64	109.62	44.29	100.22	80.31	98.72	104.01	67.53	101.73	107.65	104.36	356.43	47.18	38.52	70.65	43.59	45.15
SEPT5	5.12	1.73	16.39	147.07	23.06	5.22	43.73	18.32	0.15	23.2	137.98	6.37	37.11	6.97	59.44	6.82	0.11	40.08	60.57	197.28	24.57	14.86	3.87	1.63	4.54	65.3	11.61	39.36	0.55	4.96	10.87	13.59	163.97	14.98	3.27	5.37	108.4	61.23	24.76	1.74	10.11	18.74	18.93	15.4	1.62	4.2	27.35	19.94	4.24	28.26	19.78
TSC2	49.12	26.68	30.47	57.91	20.04	22.68	55.9	45.34	15.35	48.58	24.93	39.29	56.36	52.17	28.67	47.27	43.8	61.08	50.27	35.93	35.15	19.24	40.87	28.8	50.21	37.54	41.17	34.29	56.19	20.66	25.25	47.03	31.42	35.49	52.63	38.06	106.92	33.17	38.73	29.53	73.87	172.75	36.23	40.87	27.66	38.59	48.06	71.21	32.5	72.25	52.21
SFPQ	246.46	253.44	239.5	270.66	254.55	168.23	274.32	462.32	130.97	275.18	341.77	175.41	233.52	247.62	414.54	323.53	167.58	285.72	284.28	396.27	221.44	204.42	228.23	246.13	255.12	248.68	162.34	254.71	288.84	157.55	275.87	258.12	151.1	181.51	279.38	202.59	278.01	324.43	132.14	211.55	344.02	353.52	275.73	286.19	428.38	164.3	174.87	223.92	155.92	286.5	265.09
PRDM16	0.0	1.33	1.45	0.0	0.02	0.01	0.06	0.03	0.0	0.04	0.57	0.04	0.01	0.03	0.02	1.13	0.0	0.2	0.0	0.07	0.02	0.09	0.02	0.02	0.0	0.49	0.35	0.17	0.02	0.0	0.71	0.16	0.03	0.18	1.18	0.31	0.0	5.36	2.72	0.85	1.5	0.02	0.23	0.0	0.02	0.01	0.0	0.0	0.29	2.54	0.0
BCLAF1	59.1	66.6	56.92	50.9	80.87	46.57	48.58	96.84	38.21	46.39	57.32	46.4	62.98	64.91	70.95	81.68	60.73	46.83	59.37	51.73	85.17	22.34	52.64	81.03	27.24	45.53	33.76	82.13	56.21	25.91	54.19	48.11	38.35	32.19	55.77	59.46	60.15	57.41	42.98	46.71	60.49	69.33	71.58	51.14	74.45	44.52	37.8	38.57	88.27	49.22	56.16
SETD2	18.11	22.02	15.24	19.23	17.68	22.79	20.85	32.2	6.49	12.35	20.06	12.84	21.48	17.26	24.08	24.84	14.84	12.59	14.44	14.07	18.67	10.73	22.83	24.0	10.61	13.39	7.81	23.81	17.04	10.56	12.81	15.83	19.28	15.05	11.66	8.67	19.05	15.15	16.76	19.07	17.77	4.7	19.89	18.66	17.18	12.52	13.36	16.23	11.32	14.75	16.68
BCL11A	0.86	0.01	0.0	0.01	0.08	0.6	0.87	1.72	0.22	0.17	2.13	0.09	0.0	0.93	26.45	0.85	0.01	0.03	0.01	8.79	13.68	4.19	0.11	0.39	1.65	11.44	0.01	0.18	0.09	0.34	2.99	2.09	0.17	0.14	0.0	0.04	0.02	0.38	0.0	0.2	0.51	1.03	0.16	0.05	1.13	0.03	0.04	0.06	0.25	0.2	0.01
MLLT11	1.83	2.59	0.88	6.6	11.24	6.11	2.4	5.14	3.46	3.61	57.5	1.79	3.06	1.59	22.88	1.86	3.63	3.38	11.3	1.55	1.62	7.68	1.5	2.39	7.87	2.2	4.65	33.97	2.06	6.08	11.4	11.58	8.15	14.24	4.46	4.19	7.55	12.49	3.29	1.55	19.74	5.93	40.96	11.46	2.34	1.45	5.32	3.2	2.7	6.69	5.76
DEK	166.62	158.66	91.3	46.23	217.23	222.82	105.4	189.05	152.08	138.74	154.63	140.11	177.46	152.85	161.03	117.48	71.79	77.48	74.38	110.73	105.1	133.57	213.69	179.85	123.13	64.58	27.15	240.84	201.42	110.06	103.15	50.9	147.59	112.06	62.23	57.39	54.73	64.69	48.65	275.26	90.97	87.25	69.71	93.42	316.09	137.21	111.24	34.74	104.02	87.69	71.37
FBXO11	30.11	29.75	29.14	24.21	20.0	18.64	23.76	54.39	14.78	20.59	28.67	15.94	27.07	29.01	31.84	31.88	22.68	33.55	23.85	25.33	41.75	19.4	26.62	28.86	37.43	12.71	10.59	50.91	29.17	21.33	82.12	30.22	29.69	23.0	21.9	24.48	25.42	32.42	15.73	20.25	28.78	17.86	35.97	22.56	34.34	20.02	12.09	18.29	33.09	30.48	15.48
SMAD2	47.86	47.85	67.2	62.42	51.74	53.65	47.62	50.42	36.25	44.47	44.18	42.33	51.08	83.82	115.84	75.35	30.43	52.9	76.02	59.24	62.91	12.11	14.87	62.23	28.93	44.48	27.91	261.03	80.24	26.09	40.07	31.93	65.06	16.49	26.96	24.36	49.38	36.32	19.58	43.6	41.43	23.7	36.33	46.52	65.86	32.96	31.34	19.88	37.74	69.35	23.18
TEC	1.2	3.86	0.88	1.04	0.53	3.41	0.6	2.99	1.08	1.83	0.44	0.42	0.28	1.8	0.33	0.14	2.91	0.73	0.61	0.31	2.27	1.62	2.98	3.39	1.82	1.03	1.17	2.69	1.22	1.4	1.77	0.8	0.61	0.75	0.87	0.94	3.09	0.83	1.3	3.32	1.18	0.68	7.77	0.58	1.85	0.62	0.83	1.09	5.26	1.02	1.16
H3F3A	556.64	667.73	1084.5	1387.9	394.66	482.31	2212.5	769.34	431.36	486.33	1640.2	557.86	795.49	256.97	773.78	359.58	397.36	438.24	1203.4	646.95	734.83	289.71	519.23	862.33	853.45	860.16	770.28	625.21	1072.1	263.63	335.89	131.04	127.27	422.42	796.47	530.1	1136.6	737.38	781.82	295.18	542.67	402.12	274.85	884.08	605.62	591.58	672.62	304.39	446.21	1461.0	771.5
STAT3	174.39	76.86	27.59	69.76	110.41	51.94	44.08	61.27	76.48	53.11	26.65	28.27	76.26	92.42	106.87	76.29	29.67	35.42	58.73	43.3	73.12	21.91	114.83	116.37	49.92	54.19	13.73	170.9	72.13	39.59	104.99	59.52	42.63	30.14	21.65	23.32	37.57	43.14	56.78	45.1	28.05	59.13	54.82	17.11	118.13	119.29	63.02	13.92	25.14	38.92	26.8
GRIN2A	0.0	0.0	0.0	0.0	5.71	0.53	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	2.03	1.14	0.0	0.0	0.01	0.06	1.55	0.01	0.04	0.13	0.01	0.16	0.0	2.32	0.31	0.0	0.0	0.01	0.08	0.0	0.01	0.0	0.02	0.0	0.0	0.01	0.02	0.0	0.4	0.0	1.06	0.0	0.0	0.01	0.0	0.01	0.0
HMGA2	0.08	0.24	0.05	0.13	12.4	2.67	0.08	354.72	17.48	0.15	7.98	0.25	0.16	8.57	1.31	3.74	0.05	0.15	0.13	0.14	1.3	14.06	0.89	1.64	0.08	0.78	0.12	3.41	0.18	3.64	50.45	136.52	12.49	0.97	0.07	0.06	0.03	18.0	0.04	54.9	74.73	0.24	18.75	0.06	1.33	0.17	0.09	0.46	0.18	0.67	0.08
ZBTB16	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	1.17	0.0	0.03	0.1	0.0	0.0	0.0	0.0	0.13	0.04	0.08	0.01	0.01	0.0	0.01	0.44	0.0	0.0	0.0	0.0	0.0	0.0	13.43	0.05	0.04	0.1	0.0	0.19	0.01	0.0	0.08	0.03	0.14	0.06	0.01	0.01	0.0	0.04	0.0	0.0	0.0	0.0
SGK1	0.8	7.05	1.28	1.32	101.1	81.33	16.72	28.9	49.56	0.53	1.69	0.8	0.3	82.37	0.46	43.71	5.06	1.58	0.37	10.93	3.78	13.37	10.24	10.86	0.51	5.84	0.44	59.13	4.18	8.99	76.24	65.64	80.18	129.61	0.97	3.43	2.24	35.31	0.83	25.37	19.25	1.34	55.19	0.17	24.37	0.82	0.37	0.82	0.47	1.26	1.02
MAP2K1	22.04	117.72	23.77	21.88	29.27	33.58	30.41	39.25	36.89	38.12	45.58	35.69	28.65	77.32	15.59	50.78	42.72	55.65	22.68	31.77	28.1	12.19	115.86	105.92	26.61	19.33	17.91	31.34	86.36	24.44	24.65	69.5	59.38	45.3	29.37	39.94	16.64	26.08	35.21	57.46	63.14	28.93	98.47	47.71	55.18	22.48	28.37	22.13	53.52	30.66	22.66
CD79B	0.06	0.02	0.02	0.33	0.38	0.02	0.23	0.14	0.08	0.44	0.07	0.33	0.17	0.05	0.23	0.17	0.04	0.21	0.25	0.59	1.42	0.38	0.11	0.17	0.06	0.07	0.12	0.38	0.21	0.04	0.11	0.8	0.06	0.0	0.06	0.0	0.07	0.17	0.02	0.11	0.35	0.12	0.13	0.03	0.36	0.18	0.05	0.67	0.12	1.05	0.06
TAL2	0.04	0.11	0.05	0.18	0.25	0.34	0.25	0.26	0.2	0.43	0.69	0.23	0.27	0.19	0.45	0.0	0.0	0.67	5.64	0.2	1.22	0.22	0.14	0.08	0.05	0.16	0.13	0.97	0.06	0.07	0.81	0.18	0.0	0.1	0.05	0.13	0.32	0.38	0.0	0.53	0.0	0.0	0.26	0.06	0.08	0.3	0.38	0.0	0.0	0.0	0.05
ELK4	8.37	13.28	3.28	7.66	7.03	7.6	7.4	10.16	2.29	8.23	19.22	8.55	10.16	21.69	11.66	7.75	4.25	9.19	7.69	13.82	17.5	6.61	7.93	9.27	5.06	12.79	5.44	15.65	17.45	2.81	7.53	10.04	7.02	5.8	11.62	9.07	4.5	8.51	6.52	9.96	7.09	11.22	8.14	13.14	13.52	6.55	7.27	9.68	5.81	17.87	8.13
AKT1	211.48	110.66	228.43	142.07	108.32	65.73	257.3	75.77	45.48	151.95	170.39	263.11	143.49	258.78	200.39	168.89	191.36	255.89	164.32	112.94	74.36	45.57	95.86	113.11	239.2	88.43	208.23	133.71	120.12	38.79	65.87	53.59	119.65	61.63	401.63	184.38	194.21	180.99	209.93	134.64	240.15	133.3	81.88	346.96	115.52	128.84	196.44	88.63	150.14	292.81	255.75
CD274	2.25	5.8	0.11	0.5	4.82	69.89	0.03	0.09	44.42	0.11	1.12	0.32	0.03	0.66	0.24	0.58	0.07	0.96	0.46	0.54	0.05	0.83	4.35	12.6	0.44	0.18	0.04	4.31	10.4	3.23	0.55	5.85	5.35	22.96	0.03	0.23	1.28	0.45	0.27	19.49	7.66	1.79	1.95	0.16	1.09	2.45	0.14	0.74	1.48	0.02	0.13
TFG	81.75	275.18	66.02	102.17	109.32	93.85	55.85	118.91	66.86	84.05	50.2	81.45	83.8	147.19	75.53	78.81	100.58	93.22	65.46	136.46	63.1	89.36	135.79	156.71	76.98	64.76	53.0	97.73	286.02	63.63	119.34	87.85	194.47	80.15	78.48	75.27	63.83	68.6	96.36	86.46	101.85	102.41	197.34	58.6	174.42	69.61	82.94	87.85	113.54	79.93	80.35
MTOR	27.41	32.25	26.44	18.98	44.59	27.03	24.19	42.79	12.01	31.05	30.28	19.93	21.13	39.72	49.11	43.01	27.3	41.56	15.68	48.5	16.04	18.06	28.4	38.12	28.55	28.6	14.66	27.49	50.77	14.07	30.83	34.32	32.25	18.63	27.11	23.32	21.34	53.71	15.12	27.22	24.21	32.22	33.22	31.14	21.97	19.83	24.78	20.63	19.64	14.76	12.06
B2M	1459.5	2673.4	369.1	457.52	2106.5	1766.9	160.41	603.88	1870.5	439.07	1758.2	1946.9	411.04	4169.4	2126.6	4239.1	312.83	672.71	1240.4	1391.3	592.22	4280.4	4307.8	3355.8	557.01	141.47	376.32	2283.7	8753.3	4675.1	766.66	3243.9	2786.9	1921.2	592.87	736.11	1226.9	5.71	1909.8	2400.3	621.16	4208.1	5062.8	619.92	1781.2	1633.1	788.72	802.98	1358.0	1760.1	964.63
MAF	0.03	0.64	0.19	2.04	0.07	0.97	0.01	0.07	0.04	0.01	0.95	0.07	0.01	0.14	9.79	1.08	0.3	0.03	0.0	0.04	0.3	0.0	0.11	1.61	0.02	0.35	0.01	1.41	0.02	0.0	0.01	3.47	0.02	0.0	0.16	0.19	0.92	0.02	0.2	0.06	1.25	0.26	1.61	0.09	0.13	0.01	0.08	0.22	0.01	0.09	0.03
CLTCL1	3.94	1.28	1.24	2.69	3.0	4.49	0.44	8.75	0.39	3.15	1.68	3.05	7.8	7.32	6.32	2.68	0.74	3.3	7.29	7.0	3.87	1.92	2.66	2.16	0.43	1.86	2.21	5.46	0.53	1.19	2.38	11.89	37.94	2.13	0.96	0.74	4.46	11.95	4.59	3.93	3.75	0.21	2.46	0.35	5.42	4.35	10.98	4.49	0.24	7.53	1.55
CCND1	174.6	109.2	128.62	235.81	34.17	195.49	0.86	243.25	76.77	338.28	36.09	181.74	297.71	872.15	103.79	111.72	206.1	376.91	720.04	1.25	324.11	103.07	217.42	635.47	53.46	0.72	160.84	465.63	67.48	136.5	123.11	77.73	188.11	278.77	321.62	260.19	1915.5	19.48	562.08	291.81	294.07	453.23	78.58	938.22	120.81	95.94	85.28	60.51	282.13	192.81	245.62
PATZ1	22.99	23.0	63.36	47.86	13.62	10.53	38.34	28.1	5.85	52.19	17.61	18.25	45.35	49.78	23.79	34.25	42.22	30.91	59.26	21.02	21.7	9.04	18.42	14.49	44.18	25.66	30.14	22.66	18.53	12.83	14.21	9.19	9.27	14.58	27.28	29.61	68.39	14.22	36.58	4.94	77.65	50.44	13.01	107.77	20.64	23.17	19.01	32.81	32.58	40.54	52.89
LSM14A	89.19	159.73	85.98	121.53	69.19	86.71	92.31	126.34	53.03	128.54	93.76	126.22	127.33	87.04	184.63	103.99	113.24	271.01	90.58	63.23	248.36	45.18	102.93	133.33	57.2	68.19	58.39	173.97	88.07	48.75	72.9	44.6	92.63	120.66	85.61	77.78	53.62	157.31	88.78	69.31	83.35	63.8	47.07	104.16	143.8	96.42	82.2	55.15	56.48	109.93	89.61
